id,source,keyword,time,comment,score
13,YouTube,亞馬遜為什麼這麼成功？網家PChome、富邦媒mo,2023-05-13,.MOMO還有政治問題,3
14,YouTube,亞馬遜為什麼這麼成功？網家PChome、富邦媒mo,2023-05-13,.MOMO還有政治問題,3
21,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2023-04-22,"覺得PCHOME唯一優勢是可以分幾期0利率，買比較貴的東西雖然價錢稍貴一些還是會使用，而且退貨也是比較放心，只是好像都沒有客服電話? 找了很久只能MAIL或網站留言，MOMO有時候綁的量很大才會比較便宜一點點，真的一點點，可是要一次拿出很多錢，最近比較少買蝦皮了，便宜的小東西才會去那邊看看，運費補貼又變少了，最近都要299才免運",3
22,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2023-04-22,"覺得PCHOME唯一優勢是可以分幾期0利率，買比較貴的東西雖然價錢稍貴一些還是會使用，而且退貨也是比較放心，只是好像都沒有客服電話? 找了很久只能MAIL或網站留言，MOMO有時候綁的量很大才會比較便宜一點點，真的一點點，可是要一次拿出很多錢，最近比較少買蝦皮了，便宜的小東西才會去那邊看看，運費補貼又變少了，最近都要299才免運",3
44,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-19,"@META LIN momo 抽的可兇了，根本不在乎廠商是否虧，直接砍下去! 所你說誰比較狠?",3
45,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-19,再說了，蝦皮最多抽8趴，跟momo差的遠了,3
46,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-19,再說了，蝦皮最多抽8趴，跟momo差的遠了,3
48,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-19,"@META LIN momo 抽的可兇了，根本不在乎廠商是否虧，直接砍下去! 所你說誰比較狠?",3
51,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-18,我的最愛momo,5
52,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-18,"PCHOME以前送貨很快 後來疫情就沒那麼快了 改MOMO",2
53,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-18,momo其實是賺廠商的利潤，廠商其實在momo裡面扣東扣西的，每個月下來幾乎都是當免費的搬運工，做越久，虧損越多的概念⋯⋯,1
58,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-18,momo其實是賺廠商的利潤，廠商其實在momo裡面扣東扣西的，每個月下來幾乎都是當免費的搬運工，做越久，虧損越多的概念⋯⋯,1
60,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-18,"PCHOME以前送貨很快 後來疫情就沒那麼快了 改MOMO",2
62,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-18,我的最愛momo,5
155,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-10-07,"pchome真心難用<br>篩選不是沒有就是分類項目幫助不大<br>每次用都有一種逛跳蚤市場的感覺, 東西又亂又過時<br>一個搜尋都做不好, ui/ux也很差<br>只有在momo跟蝦皮都沒找到理想品項才會去看看pchome<br><br>然後6h到貨也是一個笑話, 連24h都到不了, 事後再給一些補償也無濟於事<br>連續買兩次都被放鳥以後, pchome已完全沒有吸引力",2
158,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-10-07,"pchome真心難用<br>篩選不是沒有就是分類項目幫助不大<br>每次用都有一種逛跳蚤市場的感覺, 東西又亂又過時<br>一個搜尋都做不好, ui/ux也很差<br>只有在momo跟蝦皮都沒找到理想品項才會去看看pchome<br><br>然後6h到貨也是一個笑話, 連24h都到不了, 事後再給一些補償也無濟於事<br>連續買兩次都被放鳥以後, pchome已完全沒有吸引力",2
162,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-10-06,"pchome 一些東西還要強制辦卡也去辦了不給過啊,直接轉戰momo辦卡好辦太多,至於蝦皮自己把它當取代露天 奇摩拍賣來用<br><br>現在基本就momo+蝦皮",3
170,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-10-06,"pchome 一些東西還要強制辦卡也去辦了不給過啊,直接轉戰momo辦卡好辦太多,至於蝦皮自己把它當取代露天 奇摩拍賣來用<br><br>現在基本就momo+蝦皮",3
199,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-10-02,"一堆人momo比較便宜真是好笑，pc有時候有些東西還真的沒有比較貴，我看是不會找吧？3c我還是只敢在pc買，退貨已經多次被momo氣死...另外現在物流速度都恢復的很快了，遲到還給100...momo真的有比較快？ 我看新執行長有沒有辦法把介面打掉重練，做不到就真的只能說保重了..",3
200,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-10-02,"一堆人momo比較便宜真是好笑，pc有時候有些東西還真的沒有比較貴，我看是不會找吧？3c我還是只敢在pc買，退貨已經多次被momo氣死...另外現在物流速度都恢復的很快了，遲到還給100...momo真的有比較快？ 我看新執行長有沒有辦法把介面打掉重練，做不到就真的只能說保重了..",3
232,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-28,momo后台是京东吗？抄京东模式这么彻底还没被告~,1
234,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-28,momo后台是京东吗？抄京东模式这么彻底还没被告~,1
292,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-20,"以前超愛用 Pchome<br>但現在幾乎0吸引力<br>除了蝦皮就是用Momo<br><br>我是覺得頁面可以先做好看一點啦<br>Pchome的頁面都沒有這兩家簡單明瞭",2
296,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-20,"以前超愛用 Pchome<br>但現在幾乎0吸引力<br>除了蝦皮就是用Momo<br><br>我是覺得頁面可以先做好看一點啦<br>Pchome的頁面都沒有這兩家簡單明瞭",2
310,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-18,而且Momo買比較不容易被騙至少東西還能使用😂,2
311,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-18,而且Momo買比較不容易被騙至少東西還能使用😂,2
313,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-17,"我覺得這一兩年蝦皮在台灣也沒有說做到很好啊，擴張太快太貪心好像真的是他的罩門<br>店到店搞多久了全台灣門市還是很少，之前為了逼大家用店到店大幅減少免運卷真的讓人很不爽<br>感覺蝦皮想學MOMO自己把物流吃下來，這部分MOMO真的超成功的，結合MOMO卡也非常有感，不像國泰蝦皮卡不知道在衝三小= =",3
315,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-17,"我覺得這一兩年蝦皮在台灣也沒有說做到很好啊，擴張太快太貪心好像真的是他的罩門<br>店到店搞多久了全台灣門市還是很少，之前為了逼大家用店到店大幅減少免運卷真的讓人很不爽<br>感覺蝦皮想學MOMO自己把物流吃下來，這部分MOMO真的超成功的，結合MOMO卡也非常有感，不像國泰蝦皮卡不知道在衝三小= =",3
360,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-10,"原本覺得PChome雖然沒比較便宜 但是東西比較多所以一直是常用的網購<br>但是近兩年因為疫情 到貨日期開始會拖很久<br><br>慢慢就會看看MOMO或蝦皮有沒有賣想要的商品 <br>結果發現好多東西都更便宜 像是印表機 延長線 手機周邊 生活小物<br>收貨日期也比較準時",3
364,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-10,"原本覺得PChome雖然沒比較便宜 但是東西比較多所以一直是常用的網購<br>但是近兩年因為疫情 到貨日期開始會拖很久<br><br>慢慢就會看看MOMO或蝦皮有沒有賣想要的商品 <br>結果發現好多東西都更便宜 像是印表機 延長線 手機周邊 生活小物<br>收貨日期也比較準時",3
386,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-08,軟體介面使用方便就贏７０％，露天被中國賣家的套餐ΟΟ玩到快報廢，就轉ＭＯＭＯ買了。,5
393,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-08,軟體介面使用方便就贏７０％，露天被中國賣家的套餐ΟΟ玩到快報廢，就轉ＭＯＭＯ買了。,5
394,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-08,MOMO的可以參考一下，電腦主件、園藝用品不貴送貨又快。,4
395,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-08,MOMO的可以參考一下，電腦主件、園藝用品不貴送貨又快。,4
443,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-04,Pchome死的好。塔綠班的高層金主開的。還跟網軍頭掩蓋打高佳瑜的新聞。台資最好的價錢跟速度是momo,5
449,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-04,Pchome死的好。塔綠班的高層金主開的。還跟網軍頭掩蓋打高佳瑜的新聞。台資最好的價錢跟速度是momo,5
466,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-02,"今年網購幾次,跑去PcHome跟Momo比價,同品牌同型號 , PcHome價格是Momo兩倍,誰要在PCHome買東西(翻桌)<br>而且PCHome送貨時間越來越容易超過24小時 ... 以前的快",5
469,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-02,"那是用供貨商運費的錢堆出來的,<br>momo 全省最少15個分倉,<br>您商品分到3個倉您要付運費三次,<br>這都是廠商負擔,<br>得利的是消費者和momo",1
470,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-02,"那是用供貨商運費的錢堆出來的,<br>momo 全省最少15個分倉,<br>您商品分到3個倉您要付運費三次,<br>這都是廠商負擔,<br>得利的是消費者和momo",1
471,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-02,"以廠商角度來看<br>1.退貨率 Pchome低(10件退2-3件) momo中高(10件退4~7件)<br>2.客戶素質 Pchome高 momo參差不齊 貪小便宜佔廠商便宜消費者很多<br>3.客戶管理 Pchome願意糾正消費者不良行為 momo 無條件可退貨即使個人衛生商品使用過也可以退<br>4.入庫商品 Pchome無倉租費 momo 月收倉租費",1
473,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-02,"今年網購幾次,跑去PcHome跟Momo比價,同品牌同型號 , PcHome價格是Momo兩倍,誰要在PCHome買東西(翻桌)<br>而且PCHome送貨時間越來越容易超過24小時 ... 以前的快",5
476,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-02,"以廠商角度來看<br>1.退貨率 Pchome低(10件退2-3件) momo中高(10件退4~7件)<br>2.客戶素質 Pchome高 momo參差不齊 貪小便宜佔廠商便宜消費者很多<br>3.客戶管理 Pchome願意糾正消費者不良行為 momo 無條件可退貨即使個人衛生商品使用過也可以退<br>4.入庫商品 Pchome無倉租費 momo 月收倉租費",1
491,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-30,"確實，在疫情過後，本人的電商平台也漸漸的從PC home 轉為蝦皮和Momo了，疫情期間的那兩年，對pchome只有失望。",3
510,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-30,"確實，在疫情過後，本人的電商平台也漸漸的從PC home 轉為蝦皮和Momo了，疫情期間的那兩年，對pchome只有失望。",3
527,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-29,"你知道pchome &amp; momo 為何贏不過蝦皮? ! 因為蝦提的app 超好用!!所有蝦皮的賣家都是非常盡責的客服人員, 迅速回覆才是重點! 她讓買家超安心! 不回就不買啊! pchome &amp; momo 還搞不清楚狀況! yahoo 因為拍賣跟超級商城即時通--- 這兩個地方賣家回覆率還算超踴躍所以還沒被做掉! momo則是便宜+送貨迅速! pchome ---沒人回沒溫度&amp; 啥時 送貨都不知道! 不買啦!",2
528,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-29,冬海集團背後18%股權是騰訊，也就是中資<br>所以我都不用蝦皮堅持只用Pchome或Momo<br>之前就有爆出過資安疑雲的蝦皮<br>怎麼敢在上面輸入信用卡資料?<br>根本就是直接把個資送給中共,1
530,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-29,PCHOME的購物紀錄可以保留好幾年，momo算了吧，不入流的電商公司，蝦皮你喜歡的話，可以考慮移民到對岸喔，人多市場大優惠足還有購物節什麼的，台灣很多人也一堆人在京東的筆電足足比台灣便宜1萬多台幣，簡直把台灣人當盤子，這種問題移民過去就沒問題了，慢走不送,3
547,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-29,冬海集團背後18%股權是騰訊，也就是中資<br>所以我都不用蝦皮堅持只用Pchome或Momo<br>之前就有爆出過資安疑雲的蝦皮<br>怎麼敢在上面輸入信用卡資料?<br>根本就是直接把個資送給中共,1
548,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-29,"你知道pchome &amp; momo 為何贏不過蝦皮? ! 因為蝦提的app 超好用!!所有蝦皮的賣家都是非常盡責的客服人員, 迅速回覆才是重點! 她讓買家超安心! 不回就不買啊! pchome &amp; momo 還搞不清楚狀況! yahoo 因為拍賣跟超級商城即時通--- 這兩個地方賣家回覆率還算超踴躍所以還沒被做掉! momo則是便宜+送貨迅速! pchome ---沒人回沒溫度&amp; 啥時 送貨都不知道! 不買啦!",2
556,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-29,PCHOME的購物紀錄可以保留好幾年，momo算了吧，不入流的電商公司，蝦皮你喜歡的話，可以考慮移民到對岸喔，人多市場大優惠足還有購物節什麼的，台灣很多人也一堆人在京東的筆電足足比台灣便宜1萬多台幣，簡直把台灣人當盤子，這種問題移民過去就沒問題了，慢走不送,3
571,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-28,市占率跟使用者經驗已經拿到了，集團股價縱然下跌，也不代表P家能撿到什麼便宜。不跟蝦皮比也好歹看看Momo電商的成功吧。（事實上股價下跌也不過是資本市場收割獲利了結必然的結果）。,4
572,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-28,市占率跟使用者經驗已經拿到了，集團股價縱然下跌，也不代表P家能撿到什麼便宜。不跟蝦皮比也好歹看看Momo電商的成功吧。（事實上股價下跌也不過是資本市場收割獲利了結必然的結果）。,4
579,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-27,"很少在退貨的我今天在momo 把一個商品退貨發現<br>PChome退貨還要印一張退貨單<br>momo就不用",1
584,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-27,"很少在退貨的我今天在momo 把一個商品退貨發現<br>PChome退貨還要印一張退貨單<br>momo就不用",1
612,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-20,"Pchome 以前很愛用，現在覺得一點吸引力也沒有。<br>第一價格貴，毫無競爭力。<br>第二要綁儲值才有回饋，但若算一下那些儲值回饋跟原本偏高的價格一結算，根本沒有優惠。<br>第三，跟銀行玩綁定，玩死客人，優惠銀行綁定限名額，還要時間到去搶，是在玩客人嗎？<br>現在買東西直接一比價，那邊平台便宜就直接買，誰管你那麼多綁東綁西還限制一堆，時間拿來做其他事不是很好。<br>Momo業績會比較好就是價格比較便宜，而且推限時優惠時價格有時很殺。<br>至於蝦皮也常用，買小東西配免運卷划得來。",2
618,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-20,"Pchome 以前很愛用，現在覺得一點吸引力也沒有。<br>第一價格貴，毫無競爭力。<br>第二要綁儲值才有回饋，但若算一下那些儲值回饋跟原本偏高的價格一結算，根本沒有優惠。<br>第三，跟銀行玩綁定，玩死客人，優惠銀行綁定限名額，還要時間到去搶，是在玩客人嗎？<br>現在買東西直接一比價，那邊平台便宜就直接買，誰管你那麼多綁東綁西還限制一堆，時間拿來做其他事不是很好。<br>Momo業績會比較好就是價格比較便宜，而且推限時優惠時價格有時很殺。<br>至於蝦皮也常用，買小東西配免運卷划得來。",2
647,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-17,蝦皮會成功不就是因為賣太多大陸便宜貨嗎，但我用PC跟MOMO是因為不會買到盜版貨。,2
648,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-17,蝦皮會成功不就是因為賣太多大陸便宜貨嗎，但我用PC跟MOMO是因為不會買到盜版貨。,2
675,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-12,"確實是越來越難用 但那個85折88折還是有機會搶到<br>買高單價3C還是在蝦皮最省... 希望其他家也能跟上這種限制少的折價券<br>MOMO跟PC都要自己蹲 或是網友看到以後給你訊息",3
676,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-12,"確實是越來越難用 但那個85折88折還是有機會搶到<br>買高單價3C還是在蝦皮最省... 希望其他家也能跟上這種限制少的折價券<br>MOMO跟PC都要自己蹲 或是網友看到以後給你訊息",3
679,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-12,"MOMO跟PCHOME這類的折價都需要自己去跟 自己去刷新 然後限制都不少<br>蝦皮就是每個月等85折88折...能用的範圍也大<br>MOMO或PC如果敢這樣改 我相信應該不少人會馬上把蝦皮丟了",2
680,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-12,"蝦皮用折價券常常能比MOMO便宜 MOMO的折價券相對限制比較多<br>蝦皮就是一到整點 &quot;商城&quot; &quot;2000以上&quot; &quot;85/88折&quot; 直接用 這種折價券太香了 = =<br>只要是商城 買啥都能折",3
682,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-12,"@Chin Lin 這兩家的折價券都沒有蝦皮好用...<br>他們如果能跟上那個好用的85折88折9折券 (主要是使用範圍大)<br>蝦皮就可以丟了...<br><br>PC跟MOMO要在那邊蹲著 等特定物品折價 實在太麻煩了",2
685,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-12,"MOMO跟PCHOME這類的折價都需要自己去跟 自己去刷新 然後限制都不少<br>蝦皮就是每個月等85折88折...能用的範圍也大<br>MOMO或PC如果敢這樣改 我相信應該不少人會馬上把蝦皮丟了",2
687,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-12,"蝦皮用折價券常常能比MOMO便宜 MOMO的折價券相對限制比較多<br>蝦皮就是一到整點 &quot;商城&quot; &quot;2000以上&quot; &quot;85/88折&quot; 直接用 這種折價券太香了 = =<br>只要是商城 買啥都能折",3
692,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-12,"@Chin Lin 這兩家的折價券都沒有蝦皮好用...<br>他們如果能跟上那個好用的85折88折9折券 (主要是使用範圍大)<br>蝦皮就可以丟了...<br><br>PC跟MOMO要在那邊蹲著 等特定物品折價 實在太麻煩了",2
694,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-11,蝦皮根本就是滔寶直接在各國開的賣場還有自動幫店家將滔寶資料搬到蝦皮的服務。便宜的小東西上蝦皮，有能力的滔寶買，有品牌的東西找MOMO，就是現在大部分人的模式,5
704,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-11,蝦皮根本就是滔寶直接在各國開的賣場還有自動幫店家將滔寶資料搬到蝦皮的服務。便宜的小東西上蝦皮，有能力的滔寶買，有品牌的東西找MOMO，就是現在大部分人的模式,5
750,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-09,"上次在銘傳城區部附近看到MOMO的倉庫! 嚇死我了，在北市裡弄倉庫!!那要花多少錢阿!!真是財力夠",2
752,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-09,"PChome被爆打的應是富邦媒MOMO吧,MOMO年營業額仟億己快追過台灣CostCo了,排在零售通路第4名(次於統一、全聯、台灣COSTCO),MOMO網頁瀏覽很順,服務好,速度快PChome不是對手",1
766,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-09,momo更強,3
770,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-09,"MOMO後面是富邦，財力雄厚，投資夠多~ 我想消費者要的無非3點，網站速度快好找，有優惠，快速拿到",3
786,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-09,momo更強,3
804,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-09,"PChome被爆打的應是富邦媒MOMO吧,MOMO年營業額仟億己快追過台灣CostCo了,排在零售通路第4名(次於統一、全聯、台灣COSTCO),MOMO網頁瀏覽很順,服務好,速度快PChome不是對手",1
805,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-09,"上次在銘傳城區部附近看到MOMO的倉庫! 嚇死我了，在北市裡弄倉庫!!那要花多少錢阿!!真是財力夠",2
812,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-09,"MOMO後面是富邦，財力雄厚，投資夠多~ 我想消費者要的無非3點，網站速度快好找，有優惠，快速拿到",3
839,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-08,連一個價格低到高，高到低的選項都不一定有，人家momo則是項目齊全，很想支持pchone但是常常就是不好用，折扣又往往比不上momo，本想在pchome買的，想買的東西同樣逛一逛後，就變成在momo買了。希望pchome能加油...,2
857,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-08,"Momo 真的屌打 pchome",5
